2455823.45365   0.02566 0.00655 optical NITES
2455823.45379   0.02002 0.00644 optical NITES
2455823.45392   0.01890 0.00644 optical NITES
2455823.45405   0.01796 0.00644 optical NITES
2455823.45417   0.01997 0.00644 optical NITES
2455823.45430   0.00800 0.00630 optical NITES
2455823.45443   0.02731 0.00655 optical NITES
2455823.45456   0.01797 0.00640 optical NITES
2455823.45469   0.02619 0.00655 optical NITES
2455823.45482   0.02768 0.00655 optical NITES
2455823.45495   0.02272 0.00651 optical NITES
2455823.45508   0.02168 0.00648 optical NITES
2455823.45520   0.01846 0.00640 optical NITES
2455823.45533   0.01896 0.00644 optical NITES
2455823.45546   0.01501 0.00637 optical NITES
2455823.45560   0.02721 0.00655 optical NITES
2455823.45572   0.02340 0.00648 optical NITES
2455823.45585   0.02036 0.00648 optical NITES
2455823.45598   0.01720 0.00644 optical NITES
2455823.45611   0.02249 0.00648 optical NITES
2455823.45623   0.00753 0.00630 optical NITES
2455823.45636   0.00927 0.00633 optical NITES
2455823.45649   0.01103 0.00633 optical NITES
2455823.45663   0.03050 0.00658 optical NITES
2455823.45676   0.03263 0.00662 optical NITES
2455823.45688   0.00641 0.00630 optical NITES
2455823.45701   0.01842 0.00644 optical NITES
2455823.45714   0.02553 0.00655 optical NITES
2455823.45726   0.02249 0.00651 optical NITES
2455823.45739   0.02445 0.00651 optical NITES
2455823.45753   0.01898 0.00644 optical NITES
2455823.45766   0.01771 0.00640 optical NITES
2455823.45779   0.02246 0.00648 optical NITES
2455823.45791   0.02393 0.00648 optical NITES
2455823.45804   0.03028 0.00658 optical NITES
2455823.45817   0.02525 0.00651 optical NITES
2455823.45829   0.02475 0.00651 optical NITES
2455823.45842   0.01046 0.00637 optical NITES
2455823.45856   0.02011 0.00644 optical NITES
2455823.45869   0.02672 0.00655 optical NITES
2455823.45882   0.01947 0.00651 optical NITES
2455823.45894   0.03659 0.00672 optical NITES
2455823.45907   0.02252 0.00648 optical NITES
2455823.45920   0.03190 0.00658 optical NITES
2455823.45932   0.00453 0.00630 optical NITES
2455823.45946   0.01877 0.00644 optical NITES
2455823.45959   0.02060 0.00651 optical NITES
2455823.45972   0.02717 0.00799 optical NITES
