# BJD-2450000   mag       e_mag      Flag   Phase    
  7067.173890   -0.0017   0.00097    0      0.73006  
  7067.194322   -0.0015   0.00097    0      0.73836  
  7067.214754   -0.0015   0.00097    1      0.74666  
  7067.235186   -0.0010   0.00097    0      0.75496  
  7067.255618   -0.0006   0.00097    0      0.76327  
  7067.276050   -0.0003   0.00097    0      0.77157  
  7067.296483   +0.0004   0.00097    0      0.77987  
  7067.316915   +0.0010   0.00097    1      0.78817  
  7067.337347   +0.0013   0.00097    0      0.79647  
  7067.357779   +0.0018   0.00097    0      0.80477  
  7067.398643   +0.0009   0.00097    0      0.82138  
  7067.419076   +0.0010   0.00097    0      0.82968  
  7067.439508   +0.0016   0.00097    1      0.83798  
  7067.459940   +0.0019   0.00097    0      0.84628  
  7067.480372   +0.0023   0.00097    0      0.85459  
  7067.500804   +0.0028   0.00097    0      0.86289  
  7067.521236   +0.0033   0.00097    0      0.87119  
  7067.541669   +0.0037   0.00097    1      0.87949  
  7067.562101   +0.0044   0.00097    0      0.88779  
  7067.582533   +0.0048   0.00097    0      0.89610  
  7067.602965   +0.0052   0.00097    0      0.90440  
  7067.643829   +0.0053   0.00097    0      0.92100  
  7067.664262   +0.0054   0.00097    1      0.92930  
  7067.684694   +0.0058   0.00097    0      0.93761  
  7067.705126   +0.0059   0.00097    0      0.94591  
  7067.725558   +0.0062   0.00097    0      0.95421  
  7067.745990   +0.0065   0.00097    1      0.96251  
  7067.766422   +0.0087   0.00097    5      0.97081  
  7067.786854   +0.0335   0.00097    5      0.97912  
  7067.807287   +0.0718   0.00097    5      0.98742  
  7067.827719   +0.0985   0.00097    5      0.99572  
  7067.848151   +0.0990   0.00097    5      0.00402  
  7067.868583   +0.0734   0.00097    5      0.01232  
  7067.889015   +0.0351   0.00097    5      0.02062  
  7067.909447   +0.0093   0.00097    5      0.02893  
  7067.929879   +0.0067   0.00097    1      0.03723  
  7067.950312   +0.0069   0.00097    0      0.04553  
  7067.970744   +0.0069   0.00097    1      0.05383  
  7067.991176   +0.0066   0.00097    0      0.06213  
  7068.011608   +0.0068   0.00097    0      0.07044  
  7068.032040   +0.0062   0.00097    0      0.07874  
  7068.052472   +0.0067   0.00097    0      0.08704  
  7068.072905   +0.0058   0.00097    1      0.09534  
  7068.134201   +0.0031   0.00097    0      0.12025  
  7068.154633   +0.0028   0.00097    0      0.12855  
  7068.175065   +0.0021   0.00097    0      0.13685  
  7068.195497   +0.0022   0.00097    0      0.14515  
  7068.215930   +0.0012   0.00097    1      0.15346  
  7068.236362   +0.0014   0.00097    0      0.16176  
  7068.256794   +0.0007   0.00097    0      0.17006  
  7068.277226   +0.0008   0.00097    0      0.17836  
  7068.297658   -0.0002   0.00097    0      0.18666  
  7068.318090   -0.0002   0.00097    1      0.19497  
  7068.358955   -0.0009   0.00097    0      0.21157  
  7068.379387   -0.0012   0.00097    0      0.21987  
  7068.399819   -0.0015   0.00097    0      0.22817  
  7068.420251   -0.0015   0.00097    0      0.23648  
  7068.440683   -0.0020   0.00097    1      0.24478  
  7068.461115   -0.0019   0.00097    0      0.25308  
  7068.481547   -0.0022   0.00097    0      0.26138  
  7068.501980   -0.0020   0.00097    0      0.26968  
  7068.522412   -0.0022   0.00097    0      0.27798  
  7068.542844   -0.0022   0.00097    1      0.28629  
  7068.563276   -0.0023   0.00097    0      0.29459  
  7068.583708   -0.0021   0.00097    0      0.30289  
  7068.604140   -0.0024   0.00097    0      0.31119  
  7068.624572   -0.0023   0.00097    0      0.31949  
  7068.645004   -0.0019   0.00097    1      0.32780  
  7068.685869   -0.0016   0.00097    0      0.34440  
  7068.747165   -0.0014   0.00097    0      0.36931  
  7068.767597   -0.0009   0.00097    0      0.37761  
  7068.788029   -0.0009   0.00097    0      0.38591  
  7068.808462   -0.0008   0.00097    1      0.39421  
  7068.869758   -0.0024   0.00097    0      0.41912  
  7068.910622   -0.0022   0.00097    0      0.43572  
  7068.931054   -0.0024   0.00097    0      0.44402  
  7068.951486   -0.0022   0.00097    0      0.45232  
  7068.971919   -0.0022   0.00097    1      0.46063  
  7068.992351   -0.0022   0.00097    5      0.46893  
  7069.012783   +0.0069   0.00097    5      0.47723  
  7069.033215   +0.0250   0.00097    5      0.48553  
  7069.053647   +0.0394   0.00097    5      0.49383  
  7069.074079   +0.0427   0.00097    5      0.50214  
  7069.094511   +0.0332   0.00097    5      0.51044  
  7069.114943   +0.0155   0.00097    5      0.51874  
  7069.135376   +0.0005   0.00097    5      0.52704  
  7069.155808   -0.0022   0.00097    1      0.53534  
  7069.176240   -0.0022   0.00097    1      0.54365  
  7069.196672   -0.0022   0.00097    0      0.55195  
  7069.217104   -0.0020   0.00097    0      0.56025  
  7069.237536   -0.0021   0.00097    0      0.56855  
  7069.257968   -0.0024   0.00097    0      0.57685  
  7069.278400   -0.0022   0.00097    1      0.58516  
  7069.298833   -0.0022   0.00097    0      0.59346  
  7069.319265   -0.0022   0.00097    0      0.60176  
  7069.339697   -0.0022   0.00097    0      0.61006  
  7069.360129   -0.0025   0.00097    0      0.61836  
  7069.380561   -0.0022   0.00097    1      0.62667  
  7069.400993   -0.0023   0.00097    0      0.63497  
  7069.421425   -0.0021   0.00097    0      0.64327  
  7069.441857   -0.0022   0.00097    0      0.65157  
  7069.462289   -0.0021   0.00097    0      0.65987  
  7069.482721   -0.0020   0.00097    1      0.66817  
  7069.503154   -0.0021   0.00097    0      0.67648  
  7069.523586   -0.0017   0.00097    0      0.68478  
  7069.544018   -0.0021   0.00097    0      0.69308  
  7069.564450   -0.0018   0.00097    0      0.70138  
  7069.605314   -0.0008   0.00097    1      0.71799  
  7069.625746   -0.0006   0.00097    0      0.72629  
  7069.646178   -0.0003   0.00097    0      0.73459  
  7069.687043   -0.0001   0.00097    0      0.75119  
  7069.707475   +0.0006   0.00097    0      0.75950  
  7069.727907   +0.0004   0.00097    1      0.76780  
  7069.748339   +0.0011   0.00097    0      0.77610  
  7069.768771   +0.0010   0.00097    0      0.78440  
  7069.789203   +0.0017   0.00097    0      0.79270  
  7069.850499   +0.0007   0.00097    0      0.81761  
  7069.870932   +0.0010   0.00097    1      0.82591  
  7069.891364   +0.0014   0.00097    0      0.83421  
  7069.911796   +0.0018   0.00097    0      0.84251  
