# -------------------------------------------------
# 
# Thou invoked Nightfall, and it answered thy plea.
# 
#   Thy Name is Pierre Maxted, 
#     and thy time is Sat Jan  9 10:31:12 2016
# 
# -------------------------------------------------
# 
# System Parameters (circular orbit):
# 
#   <Inclination>     29.300  (degree)
#   <Mass Ratio>       0.234  (dimensionless)
#   <Lagrange One>     0.644  (dimensionless)
# 
# -------------------------------------------------
# 
# Model used:
# 
#   <Flux>                  Model atmophere
#   <Log g Primary>         5.0
#   <Log g Secondary>       4.0
#   <Fractional visibility> On
#   <Limb darkening>        quadratic
#   <Detailed reflection>   9
# 
# -------------------------------------------------
# 
# System Size (absolute units):
# 
#   <Period>        8.908e+03  (seconds)
#   <Total Mass>    1.006e+30  (kilogramm)
#   <Distance>      5.130e+08  (meter)
#   <Lagrange One>  3.305e+08  (meter)
# 
#   <Period>           0.103  (days)
#   <Total Mass>       0.506  (solar mass)
#   <Distance>         0.737  (solar radius)
#   <Lagrange One>     0.475  (solar radius)
# 
# -------------------------------------------------
# 
# Component Parameters:
#                    Primary  Secondary
#   <Max Velocity>    33.577    143.492   (km/sec)
# 
#   <Mass>             0.810      0.190   (dimensionless)
#   <Gravity>       1770.600     33.441   (dimensionless)
#   <Polar Radius>     0.024      0.168   (dimensionless)
#   <Point Radius>  0.023765   0.177139   (dimensionless)
#   <Mean Radius>   0.023765   0.169751   (dimensionless)
#   <Volume>        0.000056   0.021075   (dimensionless)
# 
#   <Mass>          8.16e+29   1.91e+29   (kilogramm)
#   <Gravity>       366191.857   6916.268   (m kg/s^2)
#   <Polar Radius>  1.22e+07   8.62e+07   (meter)
#   <Point Radius>  1.22e+07   9.09e+07   (meter)
#   <Mean Radius>   1.22e+07   8.71e+07   (meter)
#   <Volume>        7.59e+21   2.84e+24   (cubic meter)
# 
#   <Mass>             0.410      0.096   (solar mass)
#   <Polar Radius>     0.018      0.124   (solar radius)
#   <Point Radius>     0.018      0.131   (solar radius)
#   <Mean Radius>      0.018      0.125   (solar radius)
#   <Volume>           0.000      0.008   (solar volumes)
# 
#   <Mean Temp.>     19000.0     3074.0   (Kelvin)
# 
# -------------------------------------------------
# 
#                    Primary  Secondary
#   <Fill Factor>      0.050      0.690   (dimensionless)
#   <Temperature>    19000.0     3000.0   (Kelvin)
#   <Asynchronicity>   1.000      1.000   (dimensionless)
#   <Albedo>           1.000      0.500   (dimensionless)
#   <Grav. Dark.>      0.250      0.049   (dimensionless)
# 
# -------------------------------------------------
# 
#   <Surface Potential Primary>       42.3130   (dimensionless)
#   <Lagrange 1 Potential>             2.3153   (dimensionless)
#   <Lagrange 2 Potential>             2.1672   (dimensionless)
#   <Surface Potential Secondary>     10.1645   (dimensionless)
#   <... in Primary frame>             2.7615   (dimensionless)
#   <Secondary eclipse begin>      --no eclipse--
#   <Secondary totality begin>     --no totality--
#   <Primary eclipse begin>        --no eclipse--
#   <Primary totality begin>       --no totality--
# 
# -------------------------------------------------
# 
# <Luminosities>:
#   Band   0:     1.81275e+08          124623
#   Band   1:      2.2245e+08          799948
#   Band   2:      8.9328e+07     1.41266e+06
#   Band   3:     7.28367e+07     3.94965e+06
#   Band   4:     6.05749e+07     2.51669e+07
#   Band   5:     1.95636e+07     3.14685e+07
#   Band   6:      5.1485e+06     1.56176e+07
#   Band   7:     4.34291e+06     1.73784e+07
#   Band   8:     4.05443e+09      1.6897e+06
#   Band   9:     3.00929e+09     8.49071e+06
#   Band  10:     1.44699e+09     6.72365e+06
#   Band  11:     5.84522e+08     9.98555e+06
# 
# -------------------------------------------------
# 
# Spots  (if any)
# 
# 
# -------------------------------------------------
# 
# Fit Results  (if any)
# 
# 
# -------------------------------------------------
# 
# <Normalization> at <Phase> was:
#   Band   0:     1.81448e+08            0.75
#   Band   1:     2.23299e+08            0.75
#   Band   2:     9.07536e+07            0.75
#   Band   3:     7.67871e+07            0.75
#   Band   4:     8.56814e+07            0.75
#   Band   5:     5.09773e+07            0.75
#   Band   6:      2.0744e+07            0.75
#   Band   7:     2.17019e+07            0.75
#   Band   8:     4.05722e+09            0.75
#   Band   9:     3.01847e+09            0.75
#   Band  10:       1.454e+09            0.75
#   Band  11:     5.94587e+08            0.75
# 
# -------------------------------------------------
# 
# SEQ  PHASE  U       B       V       R       I       J       H       K       u       v       b       y     RV(Primary) RV(Secondary) 
# 
     0 -0.2500 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000      -33.58       139.6
     1 -0.2490 -0.000001 -0.000005 -0.000023 -0.000059 -0.000199 -0.000280 -0.000404 -0.000391 -0.000000 -0.000004 -0.000008 -0.000025      -33.58       139.6
     2 -0.2480 -0.000003 -0.000012 -0.000047 -0.000120 -0.000399 -0.000562 -0.000811 -0.000786 -0.000002 -0.000008 -0.000017 -0.000051      -33.57       139.6
     3 -0.2470 -0.000006 -0.000020 -0.000072 -0.000182 -0.000601 -0.000845 -0.001218 -0.001180 -0.000004 -0.000014 -0.000028 -0.000078      -33.57       139.5
     4 -0.2460 -0.000007 -0.000026 -0.000096 -0.000243 -0.000801 -0.001125 -0.001622 -0.001572 -0.000006 -0.000019 -0.000037 -0.000104      -33.57       139.5
     5 -0.2450 -0.000009 -0.000033 -0.000121 -0.000304 -0.001002 -0.001404 -0.002026 -0.001962 -0.000007 -0.000023 -0.000046 -0.000131      -33.56       139.5
     6 -0.2440 -0.000012 -0.000040 -0.000146 -0.000366 -0.001204 -0.001684 -0.002430 -0.002353 -0.000010 -0.000029 -0.000056 -0.000158      -33.55       139.4
     7 -0.2430 -0.000012 -0.000045 -0.000168 -0.000425 -0.001404 -0.001963 -0.002834 -0.002744 -0.000009 -0.000032 -0.000064 -0.000183      -33.54       139.4
     8 -0.2420 -0.000013 -0.000051 -0.000192 -0.000486 -0.001605 -0.002245 -0.003241 -0.003137 -0.000010 -0.000036 -0.000073 -0.000209      -33.53       139.3
     9 -0.2410 -0.000016 -0.000059 -0.000218 -0.000550 -0.001809 -0.002528 -0.003650 -0.003533 -0.000013 -0.000042 -0.000083 -0.000237      -33.52       139.3
    10 -0.2400 -0.000019 -0.000066 -0.000244 -0.000612 -0.002012 -0.002811 -0.004058 -0.003928 -0.000015 -0.000048 -0.000094 -0.000265      -33.51       139.2
    11 -0.2390 -0.000020 -0.000072 -0.000268 -0.000673 -0.002214 -0.003092 -0.004465 -0.004322 -0.000015 -0.000052 -0.000102 -0.000290       -33.5       139.1
    12 -0.2380 -0.000019 -0.000076 -0.000290 -0.000733 -0.002415 -0.003373 -0.004872 -0.004716 -0.000015 -0.000054 -0.000109 -0.000315      -33.48         139
    13 -0.2370 -0.000019 -0.000080 -0.000312 -0.000793 -0.002617 -0.003655 -0.005280 -0.005111 -0.000014 -0.000057 -0.000116 -0.000339      -33.47       138.9
    14 -0.2360 -0.000014 -0.000081 -0.000331 -0.000848 -0.002815 -0.003934 -0.005687 -0.005504 -0.000009 -0.000056 -0.000120 -0.000360      -33.45       138.9
    15 -0.2350 -0.000012 -0.000084 -0.000352 -0.000907 -0.003016 -0.004215 -0.006095 -0.005899 -0.000007 -0.000057 -0.000126 -0.000383      -33.43       138.8
    16 -0.2340 -0.000015 -0.000092 -0.000377 -0.000970 -0.003221 -0.004500 -0.006507 -0.006298 -0.000009 -0.000062 -0.000136 -0.000411      -33.41       138.7
    17 -0.2330 -0.000017 -0.000099 -0.000403 -0.001034 -0.003426 -0.004784 -0.006917 -0.006695 -0.000010 -0.000067 -0.000146 -0.000439      -33.39       138.6
    18 -0.2320 -0.000018 -0.000105 -0.000428 -0.001096 -0.003630 -0.005065 -0.007325 -0.007089 -0.000011 -0.000072 -0.000155 -0.000466      -33.36       138.4
    19 -0.2310 -0.000020 -0.000111 -0.000452 -0.001159 -0.003835 -0.005347 -0.007734 -0.007484 -0.000012 -0.000076 -0.000164 -0.000493      -33.34       138.3
    20 -0.2300 -0.000019 -0.000116 -0.000476 -0.001220 -0.004038 -0.005629 -0.008142 -0.007878 -0.000012 -0.000079 -0.000172 -0.000518      -33.31       138.2
    21 -0.2290 -0.000020 -0.000122 -0.000499 -0.001282 -0.004242 -0.005911 -0.008551 -0.008274 -0.000012 -0.000083 -0.000180 -0.000544      -33.29       138.1
    22 -0.2280 -0.000021 -0.000128 -0.000524 -0.001345 -0.004448 -0.006194 -0.008962 -0.008671 -0.000012 -0.000087 -0.000189 -0.000571      -33.26       137.9
    23 -0.2270 -0.000022 -0.000134 -0.000549 -0.001407 -0.004653 -0.006477 -0.009373 -0.009068 -0.000013 -0.000091 -0.000198 -0.000598      -33.23       137.8
